Name,Objective,Service
1.1 SNS Drone Campaign 1  Winback-CashIn,Winback,Cash In
2.1 SNS Drone Campaign 2 Winback -MR,Winback,Mobile Recharge
3.1 SNS Drone Campaign 3 Winback â€“ Paybill,Winback,Bill Payment
4.1 SNS Drone Campaign 4 Winback - Send Money,Winback,P2P Send
5.1 SNS Drone Campaign 5 Winback -CashOut,Winback,CashOut
6.1 SNS Drone Campaign 6 Winback -Payment,Winback,Payment
7.1 SNS Drone Campaign 7 Retention -CashIn,Retention,Cash In
8.1 SNS Drone Campaign 8  Retention -MR,Retention,Mobile Recharge
9.1 SNS Drone Campaign 9  Retention -Paybill,Retention,Bill Payment
10.1 SNS Drone Campaign 10  Retention -Send Money,Retention,P2P Send
11.1 SNS Drone Campaign 11  Retention -CashOut,Retention,CashOut
12.1 SNS Drone Campaign 12  Retention -Payment,Retention,Payment
